is_weekend,start_station,end_station,hour,omega
0,4,46,18,1.4
0,4,46,19,2.8
0,4,47,8,1.4
0,4,47,9,1.4
0,4,47,11,2.8
0,4,47,14,2.8
0,4,47,15,2.8
0,4,47,16,1.4
0,4,47,17,4.199999999999999
0,4,47,18,1.4
0,4,47,20,4.199999999999999
0,4,47,23,1.4
0,4,48,15,1.4
0,4,48,17,2.8
0,4,48,22,1.4
0,4,49,11,4.199999999999999
0,4,49,12,1.4
0,4,49,13,2.8
0,4,49,15,1.4
0,4,49,16,5.6
0,4,49,17,1.4
0,4,49,18,1.4
0,4,49,20,1.4
0,4,49,21,1.4
0,4,50,18,1.4
0,5,2,0,1.4
0,5,2,2,1.4
0,5,2,15,1.4
0,5,3,19,1.4
0,5,4,0,1.4
0,5,4,13,1.4
0,5,4,15,1.4
0,5,4,19,2.8
0,5,4,20,1.4
0,5,4,22,1.4
0,5,4,23,1.4
0,5,5,0,4.199999999999999
0,5,5,1,12.6
0,5,5,2,7.0
0,5,5,3,4.199999999999999
0,5,5,4,2.8
0,5,5,5,5.6
0,5,5,6,1.4
0,5,5,7,1.4
0,5,5,9,1.4
0,5,5,10,2.8
0,5,5,11,4.199999999999999
0,5,5,12,2.8
0,5,5,13,2.8
0,5,5,14,5.6
0,5,5,15,5.6
0,5,5,16,5.6
0,5,5,17,7.0
0,5,5,18,5.6
0,5,5,19,11.2
0,5,5,20,7.0
0,5,5,21,9.799999999999999
0,5,5,22,7.0
0,5,5,23,9.799999999999999
0,5,6,2,2.8
0,5,6,4,1.4
0,5,6,11,1.4
0,5,6,16,1.4
0,5,6,17,1.4
0,5,6,18,1.4
0,5,6,20,1.4
0,5,6,22,1.4
0,5,6,23,2.8
0,5,8,13,1.4
0,5,8,19,2.8
0,5,8,23,1.4
0,5,9,1,1.4
0,5,9,7,2.8
0,5,9,8,1.4
0,5,9,13,1.4
0,5,9,17,4.199999999999999
0,5,9,18,4.199999999999999
0,5,9,20,2.8
0,5,9,22,1.4
0,5,9,23,1.4
0,5,11,17,1.4
0,5,12,16,1.4
0,5,13,12,1.4
0,5,13,23,1.4
0,5,14,14,1.4
0,5,14,16,1.4
0,5,14,17,2.8
0,5,14,19,1.4
0,5,14,20,4.199999999999999
0,5,14,23,1.4
0,5,15,22,1.4
0,5,16,9,1.4
0,5,17,15,1.4
0,5,17,20,1.4
0,5,18,17,1.4
0,5,18,18,1.4
0,5,19,16,1.4
0,5,19,19,1.4
0,5,19,20,1.4
0,5,19,21,2.8
0,5,19,22,1.4
0,5,20,23,1.4
0,5,21,10,1.4
0,5,21,13,1.4
0,5,21,16,1.4
0,5,21,19,1.4
0,5,21,20,1.4
0,5,22,2,1.4
0,5,22,15,1.4
0,5,22,20,1.4
0,5,23,10,1.4
0,5,23,11,1.4
0,5,23,12,2.8
0,5,23,18,1.4
0,5,24,0,1.4
0,5,24,8,1.4
0,5,24,12,2.8
0,5,24,13,2.8
0,5,24,14,1.4
0,5,24,15,1.4
0,5,24,16,1.4
0,5,24,19,1.4
0,5,24,21,2.8
0,5,24,22,1.4
0,5,24,23,1.4
0,5,25,11,1.4
0,5,25,12,1.4
0,5,25,20,1.4
0,5,26,17,1.4
0,5,26,20,1.4
0,5,27,7,1.4
0,5,27,8,5.6
0,5,27,12,2.8
0,5,27,13,5.6
0,5,27,15,2.8
0,5,27,16,2.8
0,5,27,17,2.8
0,5,27,19,2.8
0,5,27,21,1.4
0,5,27,23,1.4
0,5,28,14,1.4
0,5,28,15,2.8
0,5,28,19,1.4
0,5,28,22,2.8
0,5,29,14,1.4
0,5,29,16,1.4
0,5,29,18,1.4
0,5,29,19,2.8
0,5,29,20,1.4
0,5,30,3,1.4
0,5,30,14,1.4
0,5,30,17,1.4
0,5,30,18,1.4
0,5,30,19,1.4
0,5,30,20,4.199999999999999
0,5,30,23,2.8
0,5,31,16,1.4
0,5,31,18,1.4
0,5,32,16,1.4
0,5,33,18,1.4
0,5,33,21,1.4
0,5,33,22,2.8
0,5,34,0,1.4
0,5,34,12,2.8
0,5,34,13,2.8
0,5,34,14,1.4
0,5,34,16,2.8
0,5,34,17,1.4
0,5,34,18,2.8
0,5,34,19,2.8
0,5,34,20,1.4
0,5,34,21,2.8
0,5,34,23,1.4
0,5,35,11,1.4
0,5,35,12,2.8
0,5,35,13,4.199999999999999
0,5,35,14,1.4
0,5,35,16,2.8
0,5,35,17,1.4
0,5,35,18,4.199999999999999
0,5,35,20,1.4
0,5,35,21,1.4
0,5,35,22,4.199999999999999
0,5,36,19,1.4
0,5,36,22,1.4
0,5,36,23,1.4
0,5,37,8,1.4
0,5,37,10,1.4
0,5,37,11,1.4
0,5,37,13,1.4
0,5,37,16,1.4
0,5,37,18,2.8
0,5,37,21,1.4
0,5,37,23,2.8
0,5,38,1,1.4
0,5,38,11,1.4
0,5,38,15,1.4
0,5,38,18,1.4
0,5,38,20,2.8
0,5,38,23,2.8
0,5,39,13,1.4
0,5,39,16,1.4
0,5,39,19,1.4
0,5,40,19,1.4
0,5,40,20,4.199999999999999
0,5,40,21,4.199999999999999
0,5,40,22,1.4
0,5,40,23,1.4
0,5,41,11,2.8
0,5,41,12,4.199999999999999
0,5,41,13,1.4
0,5,41,14,4.199999999999999
0,5,41,16,1.4
0,5,41,17,4.199999999999999
0,5,41,18,2.8
0,5,41,19,5.6
0,5,41,20,5.6
0,5,41,21,4.199999999999999
0,5,41,22,7.0
0,5,41,23,1.4
0,5,42,0,1.4
0,5,42,9,4.199999999999999
0,5,42,12,2.8
0,5,42,13,1.4
0,5,42,15,1.4
0,5,42,16,2.8
0,5,42,17,2.8
0,5,42,18,5.6
0,5,42,19,2.8
0,5,42,20,1.4
0,5,42,21,1.4
0,5,43,19,1.4
0,5,43,20,1.4
0,5,43,23,1.4
0,5,44,7,2.8
0,5,44,9,2.8
0,5,44,10,1.4
0,5,44,11,2.8
0,5,44,12,2.8
0,5,44,13,1.4
0,5,44,15,2.8
0,5,44,16,1.4
0,5,44,17,1.4
0,5,44,18,1.4
0,5,44,19,1.4
0,5,44,20,2.8
0,5,44,21,1.4
0,5,44,22,1.4
0,5,45,12,1.4
0,5,45,14,1.4
0,5,45,15,2.8
0,5,45,16,1.4
0,5,45,18,8.399999999999999
0,5,45,19,2.8
0,5,45,21,2.8
0,5,45,22,2.8
0,5,46,7,1.4
0,5,46,10,1.4
0,5,46,11,1.4
0,5,46,12,1.4
0,5,46,13,1.4
0,5,46,16,1.4
