is_weekend,start_station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,34,15.399999999999999,22.4,5.6,4.199999999999999,9.799999999999999,1.4,5.6,7.0,11.2,9.799999999999999,14.0,15.399999999999999,18.2,32.199999999999996,35.0,35.0,32.199999999999996,30.799999999999997,30.799999999999997,18.2,15.399999999999999,14.0,15.399999999999999,16.799999999999997
0,35,11.2,12.6,8.399999999999999,9.799999999999999,5.6,1.4,4.199999999999999,8.399999999999999,9.799999999999999,9.799999999999999,12.6,9.799999999999999,12.6,18.2,18.2,18.2,16.799999999999997,22.4,18.2,18.2,14.0,15.399999999999999,12.6,16.799999999999997
0,36,5.6,5.6,7.0,4.199999999999999,2.8,2.8,2.8,5.6,8.399999999999999,9.799999999999999,9.799999999999999,9.799999999999999,15.399999999999999,16.799999999999997,14.0,15.399999999999999,18.2,18.2,14.0,16.799999999999997,15.399999999999999,12.6,11.2,8.399999999999999
0,37,8.399999999999999,16.799999999999997,11.2,5.6,7.0,4.199999999999999,4.199999999999999,7.0,9.799999999999999,16.799999999999997,8.399999999999999,12.6,14.0,12.6,15.399999999999999,18.2,16.799999999999997,25.2,23.799999999999997,23.799999999999997,16.799999999999997,16.799999999999997,18.2,15.399999999999999
0,38,12.6,9.799999999999999,8.399999999999999,9.799999999999999,8.399999999999999,1.4,2.8,4.199999999999999,7.0,4.199999999999999,11.2,9.799999999999999,14.0,12.6,12.6,14.0,11.2,18.2,21.0,16.799999999999997,16.799999999999997,12.6,14.0,16.799999999999997
0,39,7.0,11.2,5.6,4.199999999999999,4.199999999999999,2.8,7.0,5.6,8.399999999999999,5.6,7.0,11.2,11.2,8.399999999999999,8.399999999999999,8.399999999999999,11.2,16.799999999999997,15.399999999999999,8.399999999999999,11.2,8.399999999999999,7.0,8.399999999999999
0,40,11.2,9.799999999999999,8.399999999999999,4.199999999999999,5.6,2.8,4.199999999999999,7.0,8.399999999999999,9.799999999999999,8.399999999999999,11.2,9.799999999999999,12.6,14.0,12.6,15.399999999999999,21.0,14.0,18.2,21.0,15.399999999999999,16.799999999999997,11.2
0,41,12.6,9.799999999999999,5.6,4.199999999999999,4.199999999999999,2.8,4.199999999999999,7.0,11.2,14.0,14.0,14.0,16.799999999999997,18.2,18.2,18.2,18.2,18.2,26.599999999999998,19.599999999999998,16.799999999999997,18.2,25.2,22.4
0,42,15.399999999999999,12.6,5.6,2.8,2.8,2.8,5.6,5.6,7.0,15.399999999999999,11.2,8.399999999999999,14.0,16.799999999999997,16.799999999999997,15.399999999999999,16.799999999999997,18.2,19.599999999999998,23.799999999999997,19.599999999999998,18.2,16.799999999999997,16.799999999999997
0,43,8.399999999999999,5.6,2.8,2.8,1.4,1.4,4.199999999999999,7.0,8.399999999999999,7.0,7.0,5.6,8.399999999999999,7.0,8.399999999999999,9.799999999999999,15.399999999999999,9.799999999999999,9.799999999999999,8.399999999999999,12.6,9.799999999999999,8.399999999999999,11.2
0,44,14.0,7.0,5.6,5.6,7.0,2.8,2.8,5.6,9.799999999999999,11.2,11.2,11.2,11.2,9.799999999999999,15.399999999999999,15.399999999999999,15.399999999999999,23.799999999999997,29.4,21.0,16.799999999999997,21.0,15.399999999999999,19.599999999999998
0,45,8.399999999999999,8.399999999999999,2.8,5.6,5.6,2.8,5.6,9.799999999999999,12.6,8.399999999999999,8.399999999999999,12.6,11.2,11.2,12.6,12.6,15.399999999999999,25.2,21.0,26.599999999999998,14.0,16.799999999999997,12.6,15.399999999999999
0,46,5.6,8.399999999999999,4.199999999999999,5.6,4.199999999999999,0.0,2.8,2.8,5.6,7.0,7.0,7.0,11.2,9.799999999999999,8.399999999999999,11.2,15.399999999999999,15.399999999999999,15.399999999999999,15.399999999999999,12.6,7.0,9.799999999999999,11.2
0,47,15.399999999999999,12.6,11.2,7.0,9.799999999999999,4.199999999999999,4.199999999999999,7.0,12.6,11.2,12.6,12.6,15.399999999999999,18.2,16.799999999999997,15.399999999999999,21.0,22.4,25.2,21.0,19.599999999999998,14.0,15.399999999999999,12.6
0,48,8.399999999999999,8.399999999999999,5.6,7.0,5.6,4.199999999999999,4.199999999999999,5.6,8.399999999999999,5.6,5.6,5.6,7.0,11.2,11.2,9.799999999999999,11.2,14.0,15.399999999999999,15.399999999999999,8.399999999999999,9.799999999999999,9.799999999999999,9.799999999999999
